Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-1st Alarm,131 East 104th Street,Manhattan,41940.71918,41940.81486,40.79113016,-73.94764084
Law Enforcement-Other,10 Columbus Circle,Manhattan,41935.5478,41940.74727,40.76804662,-73.98248906
Fire-2nd Alarm,48 East 68 Street,Manhattan,41939.56675,41939.62245,40.76877581,-73.96634297
Law Enforcement-Suspicious Package,375 Greenwich Street,Manhattan,41936.22035,41937.59022,40.71962317,-74.01022806
Law Enforcement-Suspicious Package,71 street & central park,Manhattan,41937.40917,41937.56082,40.78392,-73.96584
Law Enforcement-Suspicious Package,332 West 52,Manhattan,41937.35353,41937.48963,40.76386337,-73.98615417
Law Enforcement-Suspicious Package,10 Columbus Circle,Manhattan,41936.83161,41936.89344,40.76804662,-73.98248906
Law Enforcement-Device,420 Broadway,Manhattan,41936.53476,41936.5558,40.71952192,-74.00168516
Law Enforcement-Suspicious Package,375 Greenwich Street,Manhattan,41936.22035,41936.32512,40.71962317,-74.01022806
Fire-2nd Alarm,,Brooklyn,41929.75479,41936.20017,,
Law Enforcement-Suspicious Package,10 Columbus Circle,New York City,41935.42736,41935.70457,40.76804662,-73.98248906
Fire-10-76 (Commercial High Rise Fire),300 Park Avenue,Manhattan,41934.59612,41934.66185,40.75688873,-73.97430711
Fire-6th Alarm,188 1st Avenue,Manhattan,41914.09946,41934.44794,40.72964971,-73.98376561
Law Enforcement-Suspicious Package,Broadway  & East 14th Street,Brooklyn,41927.84219,41927.8619,40.734792,-73.990701
Fire-1st Alarm,45-08 30th Avenue,Queens,41926.59914,41926.66828,40.7618521,-73.91071601
Fire-Other,,Brooklyn,41923.53501,41923.65284,,
Fire-Hospital,,Brooklyn,41923.55887,41923.57858,,
Fire-Other,251 east 32 street,Manhattan,41922.61617,41922.7858,40.74362921,-73.97709237
Fire-Haz Mat,585 Schenectady Avenue,Brooklyn,41922.48598,41922.53779,40.65955352,-73.93410726
Fire-7th Alarm,5100 Kings Plaza,Brooklyn,41898.38874,41921.52823,40.60850653,-73.92083277
Fire-4th Alarm,23-59 Borden Avenue,Queens,41910.84819,41919.82457,40.73980335,-73.94625169
Fire-2nd Alarm,15 Scenic Lane,Staten Island,41918.13027,41918.221,40.61309202,-74.08013692
Law Enforcement-Other,,Brooklyn,41917.77291,41917.78257,,
Fire-2nd Alarm,,Brooklyn,41916.60017,41916.90686,,
Fire-4th Alarm,23-59 Borden Avenue,Queens,41910.84819,41912.88843,40.73980335,-73.94625169
Fire-2nd Alarm,JFK Airport,Queens,41912.80882,41912.87936,,
Law Enforcement-Suspicious Package,2047  Coyle Street,Brooklyn,41911.89301,41911.93657,40.60201959,-73.93730687
Fire-Sensitive Location,,Brooklyn,41911.26851,41911.3965,,
Law Enforcement-Suspicious Package,17 Battery Place,Manhattan,41908.75216,41908.81752,40.70552764,-74.0154747
Fire-Other,120 East 56 Street,Manhattan,41900.69483,41907.87873,,
Fire-Manhole,226 West 50 Street,Manhattan,41906.61698,41907.49469,40.76178184,-73.98498213
Fire-2nd Alarm,4055 broadway,Manhattan,41906.23675,41906.36598,40.84305496,-73.93922716
Fire-3rd Alarm,16 Aster Ct,Brooklyn,41905.73628,41905.83953,40.59252681,-73.92555074
Fire-2nd Alarm,113 Throop Avenue,Brooklyn,41902.50803,41902.691,,
Fire-2nd Alarm,94-24-216th street,Queens,41901.0141,41901.18132,40.71845959,-73.73955893
Fire-Other,120 East 56 Street,Manhattan,41900.69483,41900.80602,,
Fire-2nd Alarm,322 West 44th Street,Manhattan,41899.90771,41900.56102,40.75895503,-73.99004963
Fire-Manhole,East 49th Street & Lexington Avenue,Manhattan,41899.79639,41899.99005,40.75519635,-73.97123723
Fire-10-76 (Commercial High Rise Fire),10 East 40th Street,Manhattan,41899.30735,41899.91167,40.75181981,-73.98100405
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,41899.83064,41899.83584,,
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,41898.70663,41898.73938,,
Fire-Haz Mat,50-18 196th Street,Queens,41888.49676,41898.66742,40.74862337,-73.78334185
Law Enforcement-Device,132-03 82 Street,Queens,41896.31584,41896.35034,40.67510857,-73.85442551
Fire-3rd Alarm,330 1st Avenue,Manhattan,41892.76457,41893.00551,40.73422535,-73.98016019
Fire-Haz Mat,50-18 196th Street,Queens,41888.49676,41892.80854,40.74862337,-73.78334185
Law Enforcement-Suspicious Package,9 Metrotech Center,Brooklyn,41891.66237,41891.97764,40.69484053,-73.984523
Fire-2nd Alarm,541 w 142 street,Manhattan,41891.60777,41891.87547,40.82423321,-73.95110945
Fire-2nd Alarm,439 beach 22nd street,Queens,41890.76314,41891.22721,40.59904267,-73.75665897
Fire-2nd Alarm,385 Fort Washington Ave,Brooklyn,41890.17671,41890.2472,40.68701221,-73.96552305
Fire-1st Alarm,50 West 65th Street,Manhattan,41888.55897,41888.71205,40.772512,-73.98106095
Law Enforcement-Suspicious Package,East 7 Street & Cooper Square,Manhattan,41887.83677,41888.1639,40.728915,-73.9903635
Fire-3rd Alarm,158 East 110 Street,New York City,41886.67612,41886.82178,40.79457979,-73.94394205
Law Enforcement-Device,275 Veterans Road W,Staten Island,41885.68837,41885.7852,,
Fire-Haz Mat,2655 Richmond Avenue,Staten Island,41883.44388,41883.54118,40.58146805,-74.16903837
Fire-Manhole,89 Throop Avenue,Brooklyn,41878.63332,41879.06589,40.70158053,-73.94551127
Fire-2nd Alarm,340 West 40 street,Manhattan,41878.5076,41878.67073,40.75668881,-73.99258247
Fire-Other,179 Street & Hillside Avenue,Queens,41877.64795,41877.8591,40.712481,-73.7844705
Fire-Sensitive Location,1297 Arthur Kill Road,Staten Island,41877.73334,41877.78957,40.5655346,-74.18298237
Fire-2nd Alarm,,Brooklyn,41877.50194,41877.66388,,
Law Enforcement-Suspicious Package,49 Thomas Street,Manhattan,41871.74957,41877.61005,40.71672991,-74.0070783
Fire-2nd Alarm,1966 Crotona Avenue,bronx,41875.78855,41877.21759,40.84571343,-73.89082887
Fire-2nd Alarm,104-71 115th street,Queens,41875.84375,41875.92655,40.6838331,-73.82675963
Fire-1st Alarm,,Brooklyn,41875.75038,41875.78659,,
Fire-2nd Alarm,112 East 198th Street,Bronx,41875.16358,41875.26259,40.87043288,-73.89151684
Fire-4th Alarm,453 Coney Island Ave,Brooklyn,41872.16179,41873.4373,40.6466852,-73.97087853
Fire-2nd Alarm,105-32 130 Street,Queens,41868.89376,41869.00255,40.68816488,-73.81478076
Fire-3rd Alarm,291 Buffalo Avenue,Brooklyn,41867.26347,41867.75453,40.6689773,-73.92550442
Law Enforcement-Suspicious Package,1212 Coney Island Avenue,Brooklyn,41865.77878,41866.14759,40.62812841,-73.96582812
Law Enforcement-Suspicious Package,,Brooklyn,41865.94748,41865.95891,,
Fire-3rd Alarm,86-11 Kingston Place,Queens,41864.92669,41865.04707,40.7134075,-73.79160348
Fire-Hospital,1275 York Avenue,Manhattan,41864.61424,41864.70427,40.76398106,-73.95588017
Law Enforcement-Suspicious Package,625 8th Avenue,New York City,41863.47396,41863.48618,40.75631387,-73.99049892
Law Enforcement-Suspicious Package,Ferndale ave & Rockland ave,Staten Island,41862.96209,41862.99903,40.594104,-74.157984
Fire-10-76 (Commercial High Rise Fire),210 Joralemon Street,Brooklyn,41861.00597,41861.03381,40.69248562,-73.99089526
